APR,MAY,JUN,AVR,LAT,LONG
3.4,1.7,1,2.033333333,36.47,-116.87
1.8,1.6,0.4,1.266666667,33.63,-116.17
2,0.8,0.1,0.966666667,32.96,-115.55
2.5,0.2,0,0.9,32.83,-115.57
3,0,1,1.333333333,33.28,-115.51
3,0.4,0,1.133333333,32.82,-115.67
1,1,0,0.666666667,32.76,-115.56
2.2,1.3,0.2,1.233333333,33.74,-116.27
32.1,7.6,2.2,13.96666667,34.42,-119.69
30.1,2,1.1,11.06666667,34.43,-119.83
22.5,4.3,1.3,9.366666667,33.61,-117.89
3,1,0,1.333333333,33.7,-116.3
17.6,1.9,0.7,6.733333333,34.12,-119.12
28,6,2,12,37.51,-122.03
26,26,5,19,37.78,-122.31
31,7,3,13.66666667,38,-121.31
45.2,5,2.1,17.43333333,38.07,-122.52
35,5,3,14.33333333,37.61,-122.38
33.9,9.1,3.1,15.36666667,37.8,-122.4
18.1,3.1,1.9,7.7,32.57,-117.12
86,36.7,13.9,45.53333333,40.5,-124.1
27.6,3.8,1,10.8,33.8,-118.05
27,5,2,11.33333333,37.45,-122.13
38,7,4,16.33333333,38.23,-122.63
30,6,3,13,38.51,-121.5
31.7,9.6,4,15.1,38.6,-121.4
141,86,34,87,41.51,-124.03
18,3,3,8,32.73,-117.16
33,6,2,13.66666667,37.48,-122.23
27.6,8.5,2.7,12.93333333,38,-121.8
40.6,13.2,4.8,19.53333333,38.27,-122.66
34,7,4,15,37.76,-122.5
24,6,3,11,33.55,-117.78
29.5,8.6,2.3,13.46666667,37.9,-121.25
41.7,17.7,5,21.46666667,38.29,-122.27
19.2,3.9,1.5,8.2,32.7,-117.2
10,3,1,4.666666667,33.81,-118.15
26.2,4.4,0.7,10.43333333,33.9,-118.4
25.5,7.2,1.7,11.46666667,37.42,-122.05
33.8,12.7,3.5,16.66666667,38.12,-121.29
33,8,3,14.66666667,38.26,-122.03
36,2,0,12.66666667,34.2,-119.2
27.6,4.9,1,11.16666667,34.3,-119.3
35,9,6,16.66666667,38.91,-121.55
73.8,42.7,16.3,44.26666667,40.8,-124.17
10,7,5,7.333333333,32.55,-117.05
139,97,41,92.33333333,41.86,-124.15
22,8,6,12,39.2,-122.01
29.6,6.4,1.7,12.56666667,37.7,-121
19,3,1,7.666666667,34.01,-118.4
27.2,6.8,2,12,36.7,-121.7
39,6,3,16,37.93,-122.35
73,22,7,34,38.95,-123.73
41.5,16.1,6.5,21.36666667,39.16,-121.6
117,75,34,75.33333333,41.78,-124.23
16.6,2.5,1.1,6.733333333,33.7,-117.83
25,7,2,11.33333333,33.82,-118.15
33,6,3,14,36.6,-121.68
22,7,3,10.66666667,37.98,-121.73
33.3,7.9,1.9,14.36666667,38.27,-121.93
29.3,11.8,4.2,15.1,38.54,-121.77
20,6,4,10,37.8,-121.58
78.3,18.5,7,34.6,38,-122.5
38,10,5,17.66666667,39.1,-121.56
71,29,6,35.33333333,39.4,-123.81
36,1.7,0.3,12.66666667,34.22,-119.08
30,5,1,12,37.35,-121.9
29.7,6.7,1.6,12.66666667,37.4,-121.9
31,8,4,14.33333333,38.68,-121.8
33,6,4,14.33333333,37.76,-122.43
